Director General Mines & Minerals   , + 92 - 91 - 9210275
Additional Director General (I), + 92 - 91 - 9213419
Additional Director General (II), + 92 - 91 - 9211038
Additional Director Geneal (III) , + 92 - 91 - 9210198
Director Licensing (I), + 92 - 91 - 9210191
Director Licensing (II ), + 92 - 91 - 9211153
Director Licensing (III) , + 92 - 91 - 9210179
Director Licensing (IV), + 92 - 91 - 9210701
Director Exploration, + 92 - 91 - 9211602
Deputy Director Technical (I), + 92 - 91 - 9210701
Deputy Director Technical (II), + 92 - 91 - 9210379
Deputy Director Technical (III), + 92 - 91 - 9213036
Deputy Director (Coordination), + 92 - 91 - 9210244
Deputy Director Planning, + 92 - 91 - 9212404
Manager GIS, + 92 - 91 - 9213775
Deputy Director GIS, + 92 - 91 - 9214413
Deputy Director Exploration, + 92 - 91 - 9212407
Assistant Director (Admin), + 92 - 91 - 9210236
Assistant Director (S&D), + 92 - 91 - 9211153
