Minister for Minerals Development , + 92 - 91 - 9223646
Secretary Minerals , + 92 - 91 - 9223553
Additional Secretary Minerals (I), + 92 - 91 - 9223650
Additional Secretary Minerals (II), + 92 - 91 - 9213761
Dy. Secretary Admin, + 92 - 91 - 9213900
Senior Planning Officer , + 92 - 91 - 9223555
Planning Officer, + 92 - 91 - 9223556
Section Officer General , + 92 - 91 - 9223557
Section Officer Appeal, + 92 - 91 - 9212279
Section Officer (Establishment), + 92 - 91 - 9223559
Section Officer (Litigation) , + 92 - 91 - 9223558
